,label,count
0,2353,531
1,517,426
2,22073,234
3,7153,223
4,469,216
5,244,203
6,5915,197
7,13218,195
8,4937,157
9,9668,153
10,1964,147
11,4841,136
12,95,124
13,8517,124
14,1465,122
15,95149,120
16,10709,111
17,31712,97
18,346,95
19,92861,95
20,60311,95
21,23159,94
22,54285,94
23,4291,90
24,6462,90
25,12862,90
26,53,87
27,12617,86
28,9390,86
29,38662,82
30,40582,77
31,7616,76
32,47320,74
33,881,74
34,31036,73
35,44102,72
36,2912,72
37,68918,72
38,12608,70
39,756,70
40,56319,69
41,48516,68
42,577,66
43,71427,65
44,25635,65
45,54659,64
46,4931,64
47,7207,63
48,60562,62
49,30713,62
50,18942,62
51,16337,62
52,3340,62
53,4623,61
54,89927,61
55,31667,58
56,8759,58
57,12258,58
58,10846,58
59,55290,57
60,88007,57
61,69483,56
62,102383,56
63,6067,56
64,10463,55
65,19247,54
66,3905,54
67,16807,54
68,79816,53
69,10419,53
70,36144,53
71,22549,52
72,100968,52
73,38070,52
74,10347,52
75,122764,52
76,128300,51
77,43543,51
78,37765,51
79,13562,51
80,69875,50
81,10302,50
82,26290,50
83,27558,50
84,12348,49
85,52057,49
86,88689,49
87,82373,49
88,9387,49
89,24029,48
90,44090,48
91,89909,48
92,1824,48
93,14573,47
94,122297,47
95,76882,47
96,17327,47
97,12835,46
98,82265,46
99,49799,46
100,6929,46
101,45286,46
102,190761,45
103,65132,45
104,3080,45
105,3690,45
106,61729,45
107,30085,45
108,31526,45
109,45884,45
110,19893,45
111,2703,44
112,70324,44
113,27773,43
114,18906,43
115,55305,43
116,20102,43
117,2425,43
118,120069,43
119,77647,42
120,66059,42
121,83718,42
122,97538,42
123,37684,42
124,20180,42
125,6799,42
126,67139,41
127,50837,41
128,101528,41
129,54399,40
130,55574,40
131,4213,40
132,120282,40
133,5547,40
134,44171,40
135,35647,40
136,52903,40
137,176203,40
138,10897,39
139,78589,39
140,4650,39
141,174747,39
142,104886,39
143,64869,39
144,132750,39
145,15075,39
146,132301,39
147,50550,39
148,32331,39
149,98343,39
150,41201,38
151,75070,38
152,29439,38
153,46620,38
154,146324,38
155,51151,38
156,93758,37
157,146674,37
158,35910,37
159,61711,37
160,5816,37
161,115506,37
162,73365,37
163,208143,37
164,5765,37
165,38261,37
166,95041,36
167,36787,36
168,9928,36
169,8056,36
170,126712,36
171,22836,36
172,50541,36
173,10087,36
174,17677,36
175,144700,36
176,149303,36
177,51375,36
178,64109,36
179,19887,35
180,93761,35
181,124962,35
182,26972,35
183,1297,35
184,44757,35
185,148926,35
186,130157,35
187,20898,35
188,92233,35
189,92080,35
190,11675,35
191,12219,35
192,40621,35
193,53854,35
194,38985,35
195,83518,35
196,38405,35
197,26927,35
198,90546,34
199,57802,34
200,32723,34
201,71876,34
202,75046,34
203,18260,34
204,44467,34
205,226335,34
206,68161,34
207,16289,34
208,28063,34
209,39963,34
210,20234,34
211,115027,34
212,83,34
213,204650,34
214,149796,34
215,24041,34
216,12222,34
217,63801,34
218,9659,34
219,36123,33
220,6893,33
221,99563,33
222,6839,33
223,37442,33
224,82050,33
225,24684,33
226,138593,33
227,46907,33
228,101743,33
229,124765,33
230,178623,33
231,112778,33
232,82732,33
233,84831,33
234,56668,33
235,14770,33
236,56815,33
237,42161,33
238,21149,33
239,90645,33
240,87935,32
241,39631,32
242,119947,32
243,47502,32
244,6875,32
245,185800,32
246,10069,32
247,12751,32
248,24504,32
249,129711,32
250,2335,32
251,20943,32
252,1393,32
253,104937,32
254,145391,32
255,32555,32
256,8744,32
257,36631,32
258,56166,32
259,25662,32
260,97825,32
261,31254,32
262,44395,32
263,79421,32
